name,size,moonbit_over_rust
async_copy,1024,8.93187
async_copy,1048576,2.38971
buffer_shared_clone,1024,1.18655
buffer_shared_clone,1048576,1.18549
buffer_shared_slice,1024,1.35913
buffer_shared_slice,1048576,1.34675
buffer_shared_split,1024,1.82471
buffer_shared_split,1048576,1.80805
sync_bufreader_bypass,1048576,1.06972
sync_bufreader_small,1024,1.63746
sync_bufreader_small,1048576,1.54695
sync_bufwriter_bypass,1048576,1.07369
sync_bufwriter_small,1024,2.48785
sync_bufwriter_small,1048576,2.57334
sync_raw_read,1024,1.27787
sync_raw_read,1048576,1.06263
sync_raw_small_write,1024,2.17372
sync_raw_small_write,1048576,2.1914
sync_short_write_16,1024,2.21101
sync_vectored_bulk,8,2.61799
sync_vectored_fallback,8,1.86861
