name,size,bytes,temp_file,median_us
sync_bufreader_read_to_end,64KB,65536,false,105.095
native_file_write_flush,64MB,67108864,true,405847.3365
sync_bufwriter_write_flush,64KB,65536,false,125.1495
native_file_read,1KB,1024,true,3.726
sync_raw_read_to_end,64KB,65536,false,104.8195
sync_raw_write_all,1KB,1024,false,2.223
buffer_shared_split_freeze,64MB,67108864,false,87594.3425
sync_short_write_1B,64KB,65536,false,1036224.473
sync_bufreader_read_to_end,64MB,67108864,false,115270.911
sync_raw_read_to_end,1KB,1024,false,1.843
sync_bufwriter_write_flush,64MB,67108864,false,135383.55099999998
native_file_read,64KB,65536,true,23.725
native_file_read,1MB,1048576,true,329.90049999999997
buffer_cow_mutation,64KB,65536,false,84.95500000000001
sync_bufwriter_write_flush,1KB,1024,false,3.104
sync_raw_read_to_end,64MB,67108864,false,115241.0935
sync_raw_write_all,1MB,1048576,false,2022.439
sync_small_write_256B,256B,262144,false,383.94550000000004
sync_short_write_16B,64KB,65536,false,65255.959
buffer_cow_mutation,1KB,1024,false,1.482
sync_raw_read_to_end,1MB,1048576,false,1703.089
native_file_write_flush,1KB,1024,true,129.12
sync_raw_write_all,64KB,65536,false,124.894
sync_vectored_write,8B,8,false,0.09
native_mmap_read_scan,64KB,65536,true,30.2695
native_file_read,64MB,67108864,true,21957.1905
buffer_cow_mutation,64MB,67108864,false,96012.1735
sync_bufwriter_write_flush,1MB,1048576,false,2024.257
buffer_shared_split_freeze,1KB,1024,false,1.432
sync_bufreader_read_to_end,1KB,1024,false,1.968
buffer_cow_mutation,1MB,1048576,false,1387.1985
native_mmap_read_scan,1KB,1024,true,10.976
native_file_write_flush,1MB,1048576,true,3976.7574999999997
sync_raw_write_all,64MB,67108864,false,135353.7515
native_file_write_flush,64KB,65536,true,238.056
native_mmap_read_scan,64MB,67108864,true,18514.3135
sync_small_write_32B,32B,32768,false,59.238
buffer_shared_split_freeze,1MB,1048576,false,1337.5045
sync_bufreader_read_to_end,1MB,1048576,false,1703.795
native_mmap_read_scan,1MB,1048576,true,322.21450000000004
buffer_shared_split_freeze,64KB,65536,false,82.517
sync_small_write_1B,1B,1024,false,20.8455
